name,matchweek,goals,assists,clean_sheets,minutes_played,points
Femi Seriki,1,0,0,0,0,0
Jack Hinshelwood,1,0,0,0,0,0
Jadon Sancho,1,0,0,0,22,1
Rhys Norrington-Davies,1,0,0,0,0,0
Vitaly Janelt,1,0,0,0,90,2
Ionuț Radu,1,0,0,0,0,0
Andre Brooks,1,0,0,0,3,1
Jack Grealish,1,0,0,0,0,0
Emil Krafth,1,0,0,0,0,0
Boubacar Traoré,1,0,0,0,0,0
Denis Franchi,1,0,0,0,0,0
James Shea,1,0,0,0,0,0
Curtis Jones,1,0,0,0,24,1
Reece James,1,0,0,0,75,2
Brandon Austin,1,0,0,0,0,0
Robin Olsen,1,0,0,0,0,0
Ben Osborn,1,0,0,0,86,2
Amad Diallo,1,0,0,0,0,0
Anthony Elanga,1,0,1,0,10,4
Oliver Norwood,1,0,0,0,90,2
Harry Toffolo,1,0,0,0,0,0
Bernardo Veiga de Carvalho e Silva,1,0,0,1,90,3
Charlie Taylor,1,0,0,0,0,0
Ivan Toney,1,0,0,0,0,0
Nuno Varela Tavares,1,0,0,0,0,0
Alex Murphy,1,0,0,0,0,0
Eddie Nketiah,1,1,0,1,72,8
Benoît Badiashile,1,0,0,0,0,0
Emile Smith Rowe,1,0,0,0,0,0
Jarell Quansah,1,0,0,0,0,0
Ben Chilwell,1,0,1,0,89,7
Philippe Coutinho Correia,1,0,0,0,3,1
Tim Iroegbunam,1,0,0,0,0,0
Andy Lonergan,1,0,0,0,0,0
Pablo Sarabia,1,0,0,1,62,3
Kieffer Moore,1,0,0,0,23,1
Wayne Hennessey,1,0,0,0,0,0
Remi Matthews,1,0,0,0,0,0
Ibrahima Konaté,1,0,0,0,90,2
Joelinton Cássio Apolinário de Lira,1,0,0,0,90,2
Marcus Tavernier,1,0,0,0,0,0
Matthew Cox,1,0,0,0,0,0
Manuel Akanji,1,0,0,1,90,6
Matheus França de Oliveira,1,0,0,0,0,0
Lucas Tolentino Coelho de Lima,1,0,0,0,90,1
Rasmus Højlund,1,0,0,0,0,0
Luca Koleosho,1,0,0,0,60,2
Rayan Aït-Nouri,1,0,0,0,76,1
Calum Chambers,1,0,0,0,0,0
Ben Davies,1,0,0,0,0,0
Emerson Palmieri dos Santos,1,0,0,0,90,1
Luis Díaz,1,1,0,0,76,8
Lawrence Vigouroux,1,0,0,0,0,0
Jakub Moder,1,0,0,0,0,0
Dara Costelloe,1,0,0,0,0,0
John Stones,1,0,0,0,0,0
Idrissa Gueye,1,0,0,0,90,2
Harry Wilson,1,0,0,1,90,3
Marcus Bettinelli,1,0,0,0,0,0
Malcolm Ebiowei,1,0,0,0,0,0
Benjamin White,1,0,0,0,90,1
Teden Mengi,1,0,0,0,0,0
Ezri Konsa Ngoyo,1,0,0,0,90,0
Thomas Partey,1,0,0,0,90,2
Jamal Lewis,1,0,0,0,0,0
Leon Bailey,1,0,0,0,45,1
Ethan Horvath,1,0,0,0,0,0
Luke Plange,1,0,0,0,0,0
Luke Shaw,1,0,0,1,90,5
Mario Lemina,1,0,0,0,90,1
Andi Zeqiri,1,0,0,0,0,0
James Tarkowski,1,0,0,0,90,2
Kristoffer Ajer,1,0,0,0,83,1
Brennan Johnson,1,0,0,0,79,2
Jake O'Brien,1,0,0,0,0,0
